ID;TIPO;LETRA;NOMBRE;CODIGO
197;1;Q;QUINOLEÍNA;#CFFF05
198;2;Q;QUEULE;https://i.ibb.co/Vx7fJQB/Queule.jpg
199;2;Q;QUANDONG;https://i.ibb.co/Wg8Db0W/Quandong.jpg
200;2;Q;QUIMBOMBÓ;https://i.ibb.co/B6MB9bh/Quimbombo.jpg
201;3;Q;QUIMERA COMUN;https://i.ibb.co/GcGWKWQ/Quimera-comun.jpg
202;3;Q;QUOL TIGRE;https://i.ibb.co/pfrj8bw/Quol-tigre.jpg
203;3;Q;QUETZAL;https://i.ibb.co/M731QGb/Quetzal.jpg
204;3;Q;QUOKKA;https://i.ibb.co/M731QGb/Quetzal.jpg
205;1;R;ROJO;#FF0000
206;1;R;ROSADO;#FF0080
207;1;R;RUFO;#CB6D51
208;1;R;ROCOCO;#C37567
209;2;R;REINA CLAUDIA;https://i.ibb.co/tDXnFPG/Reina-claudia.jpg
210;2;R;RAMBUTÁN;https://i.ibb.co/h7MDtfL/rambutan.jpg
211;3;R;RATA;https://i.ibb.co/p4xWJZf/Rata.jpg
212;3;R;RANA;https://i.ibb.co/JrthR6K/RanaI.jpg
213;3;R;RINOCERONTE;https://i.ibb.co/XJVz1vv/Rinoceronte.jpg
214;3;R;RENO;https://i.ibb.co/S02XMHM/Reno.jpg
215;1;S;SIENA;#C58A3E
216;1;S;SALMON;#FA8072
217;1;S;SEPIA;#382C1E
218;1;S;SABLE;#F0DDC5
219;2;S;SANDIA;https://i.ibb.co/VmzsrfT/Sandia.jpg
220;2;S;SORVEIRA;https://i.ibb.co/g3s4HpY/sorveira.jpg
221;2;S;SÉSAMO;https://i.ibb.co/nfkxMrG/Sesamo.jpg
222;3;S;SALAMANDRA;https://i.ibb.co/r7j30zk/Salamandra.jpg
223;3;S;SARDINA;https://i.ibb.co/Prd8mrJ/Sardina.jpg
224;3;S;SAPO;https://i.ibb.co/zmxHMT6/Sapo.jpg
225;3;S;SERPIENTE;https://i.ibb.co/Kjx6tCZ/serpiente.jpg
226;1;T;TURQUESA;#5DC1B9
227;1;T;TERRACOTA;#C89C7D
228;1;T;TOPACIO;#DB7D2E
229;1;T;TURPIAL;#F7A400
230;2;T;TAMARINDO;https://i.ibb.co/jv5vwkg/Tamarindo.jpg
231;2;T;TORONJA;https://i.ibb.co/rQDWgn5/Toronja.jpg
232;2;T;TUNA;https://i.ibb.co/B3Q9XcX/Tuna.jpg
233;2;T;TAMARILLO;https://i.ibb.co/rcjqcR1/Tamarillo.jpg
234;3;T;TARÁNTULA;https://i.ibb.co/KVZNH5s/Tarantula.jpg
235;3;T;TEJÓN;https://i.ibb.co/TkKhHxT/Tejon.jpg
236;3;T;TIGRE;https://i.ibb.co/d79Kq6T/Tigre.jpg
237;3;T;TOPO;https://i.ibb.co/sCZ44X3/Topo.jpg
238;1;U;ULTRAMAR;#20214F
239;1;U;ULTRAVIOLETA;#5F4B8B
240;1;U;UVA;#2F2140
241;2;U;UVA BLANCA;https://i.ibb.co/ZHYP2NL/Uva-blanca.jpg
242;2;U;UVA NEGRA;https://i.ibb.co/3k72N94/Uva-negra.jpg
243;2;U;UCHUVA;https://i.ibb.co/9859wth/Uchuva.jpg
244;2;U;UGLI;https://i.ibb.co/7zhdWNk/Ugli.jpg
245;3;U;URIAL;https://i.ibb.co/MS03KhT/Urial.jpg
246;3;U;URSÓN;https://i.ibb.co/GcCk4TT/Urson.jpg
247;3;U;UALABÍ RUPESTRE;https://i.ibb.co/J7XyKRD/ualabi.jpg
248;3;U;UAPITI;https://i.ibb.co/MBjvhw2/Uapiti.jpg
249;1;V;VAINILLA;#F3E5AB
250;1;V;VERDE;#ADFF2F
251;1;V;VINOTINTO;#56070C
252;1;V;VIOLETA;#922B3E
253;2;V;VAINILLA;https://i.ibb.co/9ZLdJFQ/vainilla.jpg
254;2;V;VITORIA;https://i.ibb.co/kGHYszZ/vitoria.jpg
